ID1,species_common_name,SAR_prairies,np_tone,np_pattern,np_combined,mass,logmass,MaxFreqkHz_lhreg,n_tags_maxfreq_WT,maxfreqkHz,rarity
GGOW,Great Gray Owl,No,hoot,series,hoot_series,NA,NA,NA,5,1.296,8.63E-05
GHOW,Great Horned Owl,No,hoot,phrase,hoot_phrase,NA,NA,NA,8,1.44,1.85E-04
GRAJ,Gray Jay,No,NA,NA,Call,71.58,4.270815705,1.8,730,3.997027397,0.023162023
GRCA,Gray Catbird,No,whistle,phrase,whistle_phrase,35.3,3.563882964,9,14,4.93,1.60E-04
GRYE,Greater Yellowlegs,No,NA,NA,Call,161.74,5.085990108,3.45,259,3.781698842,0.006142006
GWTE,Green-winged Teal,No,NA,NA,Call,NA,NA,NA,14,3.212142857,2.59E-04
HASP,Harris's Sparrow,No,whistle,phrase,whistle_phrase,NA,NA,NA,38,4.503947368,9.13E-04
HAWO,Hairy Woodpecker,No,click,trill,click_trill,62.65,4.137563681,5.5,57,5.056491228,0.001430668
HERG,Herring Gull,No,NA,NA,Call,NA,NA,NA,19,2.498421053,4.07E-04
HETH,Hermit Thrush,No,polynoise,warble,polynoise_warble,30.1,3.404525172,6.5,2074,4.993659595,0.047471047
HOGR,Horned Grebe,Yes,NA,NA,Call,NA,NA,NA,2,3.08,2.47E-05
HOLA,Horned Lark,No,whistle,warble,whistle_warble,33.33,3.506457892,7,6,7.066666667,7.40E-05
HOME,Hooded Merganser,No,NA,NA,Call,NA,NA,NA,1,5.42,1.23E-05
HOWR,House Wren,No,buzzy,warble,buzzy_warble,10.85,2.38416508,8,123,6.852439024,5.67E-04
KILL,Killdeer,No,NA,NA,Call,96.44,4.568921053,2.58,17,6.180588235,2.84E-04
LALO,Lapland Longspur,No,whistle,warble,whistle_warble,27.84,3.326473835,5,2,4.485,4.93E-05
LCSP,Le Conte's Sparrow,No,polynoise,phrase,polynoise_phrase,13,2.564949357,11,128,9.73484375,0.002923003
LEFL,Least Flycatcher,No,click,series,click_series,10,2.302585093,7.5,209,7.677368421,0.004662005
LEOW,Long-eared Owl,No,hoot,series,hoot_series,NA,NA,NA,5,0.832,9.87E-05
LESA,Least Sandpiper,No,NA,NA,Call,NA,NA,NA,1,3.78,3.70E-05
LEYE,Lesser Yellowlegs,No,NA,NA,Call,77.5,4.350277936,2.79,70,3.571285714,0.001529335
LISP,Lincoln's Sparrow,No,buzzy,warble,buzzy_warble,16.6,2.809402695,7,983,6.618952187,0.022644023
MALL,Mallard,No,NA,NA,Call,NA,NA,NA,46,3.911521739,7.28E-04
MAWA,Magnolia Warbler,No,whistle,phrase,whistle_phrase,8.14,2.09679018,7.5,478,7.097384937,0.010532677
MAWR,Marsh Wren,No,buzzy,warble,buzzy_warble,10.8,2.379546134,9,7,7.957142857,1.23E-04
MEGU,Mew Gull,No,NA,NA,Call,NA,NA,NA,15,4.130666667,2.84E-04
MERL,Merlin,No,NA,NA,Call,NA,NA,NA,1,5.51,6.17E-05
MOBL,Mountain Bluebird,No,buzzy,phrase,buzzy_phrase,29.6,3.387774361,3,NA,3,1.23E-05
MODO,Mourning Dove,No,hoot,series,hoot_series,118.93,4.778535085,0.47,194,1.562938144,0.001874669
MOWA,Mourning Warbler,No,whistle,phrase,whistle_phrase,11.74,2.463001814,5.458,587,6.480579216,0.009274676
NAWA,Nashville Warbler,No,whistle,phrase,whistle_phrase,8.09,2.090628731,9.25,1012,8.387648221,0.015318015
NESP,Nelson's Sparrow,No,polynoise,phrase,polynoise_phrase,15.11,2.715356776,7.3,3,7.1,7.40E-05
NHOW,Northern Hawk Owl,No,hoot,trill,hoot_trill,NA,NA,NA,3,1.616666667,4.93E-05
NLFR,Northern Leopard Frog,No,buzzy,series,buzzy_series,NA,NA,NA,3,2.146666667,1.11E-04
NOFL,Northern Flicker,No,click,trill,click_trill,131.46,4.878702623,3.35,113,4.645221239,0.00353967
NOGO,Northern Goshawk,No,NA,NA,Call,NA,NA,NA,5,4.408,2.84E-04
NOPI,Northern Pintail,No,NA,NA,Call,NA,NA,NA,1,2.85,1.23E-05
NOWA,Northern Waterthrush,No,whistle,warble,whistle_warble,16.3,2.791165108,9,295,6.953966102,0.004945672
NRWS,Northern Rough-winged Swallow,No,NA,NA,Call,NA,NA,NA,NA,NA,2.47E-05
NSHO,Northern Shoveler,No,NA,NA,Call,NA,NA,NA,4,2.265,3.70E-05
NSWO,Northern Saw-whet Owl,No,whistle,series,whistle_series,NA,NA,NA,1,1.4,3.70E-05
OCWA,Orange-crowned Warbler,No,click,trill,click_trill,9.19,2.218115936,8.5,295,7.369355932,0.005735006
OSFL,Olive-sided Flycatcher,Yes,whistle,phrase,whistle_phrase,32.1,3.46885603,3.8,233,4.581587983,0.004859338
OSPR,Osprey,No,NA,NA,Call,NA,NA,NA,13,4.739230769,5.55E-04
OVEN,Ovenbird,No,click,series,click_series,18.8,2.93385687,8,1784,7.99455157,0.042932376
PAWA,Palm Warbler,No,buzzy,series,buzzy_series,10.3,2.332143895,8,653,7.087274119,0.015848349
PBGR,Pied-billed Grebe,No,hoot,phrase,hoot_phrase,NA,NA,NA,217,1.877603687,0.002701003
