spp,scientific_name,common_name,WJSpecID,Scientific,Scientific2,logphi,logtau,logphiSE,logtauSE,mass,logmass,MaxFreqkHz,Migr,Nesthm,habitat,food,behavior,Mig,Mig2,Hab2,Hab3,Hab4,xMaxFreqkHz
EAKI,Tyrannus tyrannus,Eastern Kingbird,6195,Tyrannus tyrannus,Tyrannus tyrannus,-1.412043615,-0.171564719,0.081270935,0.010386495,39.85,3.685122405,8.2,Neotropical migrant,3,Grassland,Insects,Flycatching,LD,M,Open,Open,Open,0.82
EAPH,Sayornis phoebe,Eastern Phoebe,6052,Sayornis phoebe,Sayornis phoebe,-1.682305703,-0.082111254,0.134686399,0.0148613,19.7,2.980618636,5,Short distance migrant,2,Open Woodland,Insects,Flycatching,SD,M,Closed,Wood,Wood,0.5
EATO,Pipilo erythrophthalmus,Eastern Towhee,12602,Pipilo erythrophthalmus,Pipilo erythrophthalmus,-1.307443253,-0.02981131,0.046264421,0.024391798,40.03,3.689629173,9,Short distance migrant,1.5,Scrub,Omnivore,Ground Forager,SD,M,Open,Open,Open,0.9
EAWP,Contopus virens,Eastern Wood-Pewee,6028,Contopus virens,Contopus virens,-1.184362548,0.127139756,0.018890362,0.009719839,13.9,2.63188884,5,Neotropical migrant,7,Forest,Insects,Flycatching,LD,M,Closed,For,For,0.5
EUST,Sturnus vulgaris,European Starling,9510,Sturnus vulgaris,Sturnus vulgaris,-1.118491399,0.062117751,0.06829231,0.003158379,77.14,4.345621953,6,Short distance migrant,6,Town,Insects,Ground Forager,SD,M,Open,Open,Open,0.6
EVGR,Coccothraustes vespertinus,Evening Grosbeak,12417,Coccothraustes vespertinus,Coccothraustes vespertinus,-2.115998206,-0.226185653,0.112288491,0.015933214,57.3,4.048300624,4.2,Nomadic,12,Forest,Seeds,Ground Forager,WR,W,Closed,For,For,0.42
FISP,Spizella pusilla,Field Sparrow,12565,Spizella pusilla,Spizella pusilla,-1.700732034,0.210845875,0.156194468,0.021470695,12.5,2.525728644,4.1,Short distance migrant,1,Scrub,Insects,Ground Forager,SD,M,Open,Open,Open,0.41
FOSP,Passerella iliaca,Fox Sparrow,12511,Passerella iliaca,Passerella iliaca,-1.552051878,0.172202958,0.037241526,0.014744519,33.25,3.504054767,7,Short distance migrant,0,Forest,Insects,Ground Forager,SD,M,Closed,For,For,0.7
GCFL,Myiarchus crinitus,Great Crested Flycatcher,6168,Myiarchus crinitus,Myiarchus crinitus,-1.785031987,0.111371531,0.050821624,0.009309655,32.1,3.46885603,3.5,Neotropical migrant,3,Open Woodland,Insects,Flycatching,LD,M,Closed,Wood,Wood,0.35
GCKI,Regulus satrapa,Golden-crowned Kinglet,10163,Regulus satrapa,Regulus satrapa,-1.605866137,-0.85951704,0.029753693,0.007628718,6.19,1.822935087,9.5,Short distance migrant,10,Forest,Insects,Foliage Gleaner,SD,M,Closed,For,For,0.95
GCSP,Zonotrichia atricapilla,Golden-crowned Sparrow,12527,Zonotrichia atricapilla,Zonotrichia atricapilla,-1.604663487,0.238033376,0.12489864,0.080313946,31.99,3.465423354,5.5,Short distance migrant,0,Scrub,Insects,Ground Forager,SD,M,Open,Open,Open,0.55
GCTH,Catharus minimus,Gray-cheeked Thrush,8903,Catharus minimus,Catharus minimus,-1.53951234,-0.046466048,0.083067934,0.024834396,31.58,3.452524009,7.5,Neotropical migrant,2,Forest,Insects,Ground Forager,LD,M,Closed,For,For,0.75
GRAJ,Perisoreus canadensis,Gray Jay,8036,Perisoreus canadensis,Perisoreus canadensis,-1.884209487,-0.379982872,0.026077655,0.005703342,71.58,4.270815705,1.8,Resident,4,Forest,Omnivore,Ground Forager,WR,W,Closed,For,For,0.18
GRCA,Dumetella carolinensis,Gray Catbird,9557,Dumetella carolinensis,Dumetella carolinensis,-1.548434347,-0.250597186,0.062469068,0.012334931,35.3,3.563882964,9,Short distance migrant,1,Open Woodland,Insects,Ground Forager,SD,M,Closed,Wood,Wood,0.9
GRYE,Tringa melanoleuca,Greater Yellowlegs,4096,Tringa melanoleuca,Tringa melanoleuca,-1.363430929,0.056507517,0.052634836,0.022482428,161.74,5.085990108,3.45,Short distance migrant,0,Marsh,Insects,Probing,SD,M,Open,Open,Wet,0.345
GWWA,Vermivora chrysoptera,Golden-winged Warbler,12669,Vermivora chrysoptera,Vermivora chrysoptera,-1.540415596,-0.236231432,0.057793265,0.028539164,8.74,2.16791019,8.5,Neotropical migrant,0,Open Woodland,Insects,Foliage Gleaner,LD,M,Closed,Wood,Wood,0.85
HAFL,Empidonax hammondii,Hammond's Flycatcher,6043,Empidonax hammondii,Empidonax hammondii,-1.269897571,-0.665004708,0.082907069,0.020749345,10.44,2.345644582,7,Neotropical migrant,8,Forest,Insects,Flycatching,LD,M,Closed,For,For,0.7
HAWO,Picoides villosus,Hairy Woodpecker,965,Picoides villosus,Picoides villosus,-2.016019075,-0.324389534,0.062900352,0.009864548,62.65,4.137563681,5.5,Resident,8,Forest,Insects,Bark Forager,WR,W,Closed,For,For,0.55
HETH,Catharus guttatus,Hermit Thrush,8909,Catharus guttatus,Catharus guttatus,-1.130590631,0.03810442,0.009320686,0.004088913,30.1,3.404525172,6.5,Short distance migrant,0,Open Woodland,Insects,Ground Forager,SD,M,Closed,Wood,Wood,0.65
HOLA,Eremophila alpestris,Horned Lark,11535,Eremophila alpestris,Eremophila alpestris,-0.709079268,-0.039101176,0.020075006,0.014049181,33.33,3.506457892,7,Short distance migrant,0,Grassland,Seeds,Ground Forager,SD,M,Open,Open,Open,0.7
HOSP,Passer domesticus,House Sparrow,11753,Passer domesticus,Passer domesticus,-0.802978747,-0.180967914,0.054042209,0.007040065,26.51,3.27752202,5,Resident,4,Town,Seeds,Ground Forager,WR,W,Open,Open,Open,0.5
HOWR,Troglodytes aedon,House Wren,9753,Troglodytes aedon,Troglodytes aedon,-0.873191151,-0.099498261,0.024499904,0.010593191,10.85,2.38416508,8,Neotropical migrant,2,Open Woodland,Insects,Foliage Gleaner,LD,M,Closed,Wood,Wood,0.8
INBU,Passerina cyanea,Indigo Bunting,13313,Passerina cyanea,Passerina cyanea,-1.42744229,-0.093884982,0.044767836,0.011660197,14.69,2.68716699,8,Neotropical migrant,1,Open Woodland,Insects,Foliage Gleaner,LD,M,Closed,Wood,Wood,0.8
KILL,Charadrius vociferus,Killdeer,4241,Charadrius vociferus,Charadrius vociferus,-1.53531492,0.085823355,0.065245848,0.010605786,96.44,4.568921053,2.58,Short distance migrant,0,Grassland,Insects,Ground Forager,SD,M,Open,Open,Open,0.258
LALO,Calcarius lapponicus,Lapland Longspur,12505,Calcarius lapponicus,Calcarius lapponicus,-1.196846609,-0.215448169,0.109167798,0.026319779,27.84,3.326473835,5,Short distance migrant,0,Grassland,Insects,Ground Forager,SD,M,Open,Open,Open,0.5
LCSP,Ammodramus leconteii,Le Conte's Sparrow,12551,Ammodramus leconteii,Ammodramus leconteii,-0.530945204,-0.430627688,0.034632761,0.017248219,13,2.564949357,11,Short distance migrant,0,Grassland,Insects,Ground Forager,SD,M,Open,Open,Open,1.1
LEFL,Empidonax minimus,Least Flycatcher,6042,Empidonax minimus,Empidonax minimus,-0.873797758,-0.524398039,0.0099294,0.004038183,10,2.302585093,7.5,Neotropical migrant,6,Forest,Insects,Flycatching,LD,M,Closed,For,For,0.75
LEYE,Tringa flavipes,Lesser Yellowlegs,4097,Tringa flavipes,Tringa flavipes,-1.800417945,0.245829211,0.077685449,0.022432496,77.5,4.350277936,2.79,Short distance migrant,0,Marsh,Insects,Probing,SD,M,Open,Open,Wet,0.279
LISP,Melospiza lincolnii,Lincoln's Sparrow,12519,Melospiza lincolnii,Melospiza lincolnii,-1.185978775,-0.355564635,0.017885825,0.005946719,16.6,2.809402695,7,Short distance migrant,0,Scrub,Insects,Ground Forager,SD,M,Open,Open,Open,0.7
MAWA,Setophaga magnolia,Magnolia Warbler,12689,Dendroica magnolia,Dendroica magnolia,-1.274338124,-0.45177655,0.014770186,0.004099896,8.14,2.09679018,7.5,Neotropical migrant,1,Forest,Insects,Foliage Gleaner,LD,M,Closed,For,For,0.75
MAWR,Cistothorus palustris,Marsh Wren,9708,Cistothorus palustris,Cistothorus palustris,-0.978997203,-0.193985707,0.118288256,0.039467558,10.8,2.379546134,9,Short distance migrant,1,Marsh,Insects,Ground Forager,SD,M,Open,Open,Wet,0.9
